CaseID,FilingDate,CrimeType,Location,Description,PriorityLabel
CR-2022-10255,2024-05-06,Burglary,East District,Forced entry through front door. cash and electronics were stolen. No alarm system triggered.,1
CR-2020-10256,2024-11-29,Other,Downtown,Trespassing incident at closed business premises after hours.,0
CR-2018-10257,2022-09-17,Assault,North District,Victim sustained black eye after altercation with suspect at public restroom.,0
CR-2018-10258,2022-06-16,Drug Offense,South District,Search warrant execution revealed cocaine and paraphernalia in suspect's residence.,0
CR-2020-10259,2022-08-25,Theft,Downtown,Victim reported wallet stolen from store. No witnesses present.,0
CR-2020-10260,2022-07-27,Fraud,South District,Victim was deceived into transferring $10000 to fraudulent investment scheme.,0
CR-2021-10261,2024-07-11,Theft,University Campus,Victim's phone was taken while they were distracted by phone. No suspects identified.,0
CR-2018-10262,2022-04-28,Fraud,Industrial Area,"Suspect used victim's identity to open loan accounts, causing financial damage of $2500.",0
CR-2022-10263,2023-04-25,Drug Offense,Transit Station,Suspect found in possession of prescription pills during routine traffic stop.,0
CR-2019-10264,2023-08-18,Other,Downtown,Noise complaint escalated requiring police intervention at residential property.,0
CR-2019-10265,2025-02-19,Other,Downtown,Noise complaint escalated requiring police intervention at residential property.,0
CR-2022-10266,2022-12-22,Burglary,Downtown,Business broken into overnight. side entrance showed signs of forced entry. artwork and antiques reported missing.,0
CR-2018-10267,2024-09-15,Other,University Campus,Trespassing incident at closed business premises after hours.,0
CR-2022-10268,2023-12-01,Vandalism,Downtown,Business storefront windows broken with skateboard. Surveillance camera captured incident.,0
CR-2020-10269,2023-05-23,Fraud,West District,Victim was deceived into transferring $15000 to fraudulent investment scheme.,0
CR-2020-10270,2023-12-27,Theft,Downtown,Victim's bicycle was taken while they were distracted by phone. No suspects identified.,0
CR-2022-10271,2024-11-07,Assault,South District,Domestic dispute escalated to physical violence resulting in lacerations requiring stitches to victim.,1
CR-2018-10272,2024-12-23,Burglary,West District,Home invasion occurred while residents were away. side entrance was damaged. jewelry and watches missing.,1
CR-2022-10273,2024-09-26,Assault,South District,Unprovoked attack by unknown suspect left victim with facial bruising. Witnesses described suspect as young male in hooded sweatshirt.,1
CR-2019-10274,2023-06-04,Theft,Downtown,Victim reported vehicle stolen from parking lot. No witnesses present.,0
CR-2019-10275,2025-03-14,Theft,Downtown,Unknown suspect stole laptop from victim's park bench. No surveillance footage available.,0
CR-2018-10276,2023-08-06,Theft,South District,Suspect took victim's laptop when victim was not looking at park bench.,0
CR-2021-10277,2023-04-28,Vandalism,South District,Vehicle's windows was deliberately damaged while parked at sidewalk.,0
CR-2021-10278,2023-05-10,Vandalism,Downtown,"Public trash bins was destroyed, causing $369 in damages. No witnesses.",0
CR-2022-10279,2023-04-27,Burglary,North District,Suspect broke into residence via basement window and took cash and electronics. No witnesses.,0
CR-2022-10280,2023-06-22,Theft,Transit Station,Unknown suspect stole identity documents from victim's office. No surveillance footage available.,0
CR-2018-10281,2023-05-20,Burglary,West District,Suspect broke into residence via side entrance and took artwork and antiques. No witnesses.,0
CR-2021-10282,2022-10-20,Other,Central Park,Trespassing incident at closed business premises after hours.,0
CR-2020-10283,2024-03-26,Other,Industrial Area,"Suspicious activity reported near library, investigation ongoing.",0
CR-2020-10284,2025-04-06,Fraud,Downtown,Victim reported unauthorized transactions totaling $2500 on their credit card.,1
CR-2021-10285,2024-05-27,Theft,University Campus,Victim's identity documents was taken while they were dining. No suspects identified.,0
CR-2022-10286,2022-11-28,Burglary,Downtown,Business broken into overnight. rear window showed signs of forced entry. personal documents and valuables reported missing.,0
CR-2019-10287,2022-12-31,Robbery,Central Park,"Armed suspect demanded money from store clerk, escaped with $981.",1
CR-2018-10288,2025-02-23,Other,Downtown,Trespassing incident at closed business premises after hours.,0
CR-2019-10289,2023-06-09,Vandalism,West District,Vehicle's paint was deliberately damaged while parked at park bench.,0
CR-2020-10290,2022-09-23,Assault,West District,Domestic dispute escalated to physical violence resulting in minor cuts and bruises to victim.,0
CR-2022-10291,2023-03-11,Homicide,Industrial Area,Domestic dispute escalated resulting in fatal gunshot wounds to victim.,1
CR-2020-10292,2024-11-23,Burglary,Downtown,Home invasion occurred while residents were away. pet door was damaged. electronics and jewelry missing.,1
CR-2018-10293,2024-10-23,Harassment,Downtown,Victim received 10 threatening messages from known suspect over 5 months.,0
CR-2018-10294,2024-11-26,Burglary,North District,Business broken into overnight. balcony door showed signs of forced entry. jewelry and watches reported missing.,1
CR-2020-10295,2024-10-16,Theft,North District,Victim's vehicle was taken while they were distracted by phone. No suspects identified.,0
CR-2022-10296,2024-06-20,Theft,Industrial Area,Victim reported credit cards stolen from park bench. No witnesses present.,0
CR-2022-10297,2022-11-26,Assault,Shopping Mall,Unprovoked attack by unknown suspect left victim with facial bruising. Witnesses described suspect as medium-built female with distinctive tattoos.,0
CR-2020-10298,2025-03-15,Drug Offense,East District,Search warrant execution revealed heroin and paraphernalia in suspect's residence.,0
CR-2022-10299,2022-11-18,Robbery,West District,Suspect threatened victim with broken bottle before taking jewelry.,1
CR-2018-10300,2023-11-08,Harassment,West District,Victim received 15 threatening messages from known suspect over 3 months.,0
CR-2020-10301,2023-10-25,Drug Offense,West District,Search warrant execution revealed marijuana and paraphernalia in suspect's residence.,0
CR-2020-10302,2023-06-12,Theft,Industrial Area,Victim reported wallet stolen from store. No witnesses present.,0
CR-2022-10303,2024-07-20,Assault,Industrial Area,Physical altercation between victim and known suspect resulted in concussion.,1
CR-2019-10304,2024-02-17,Burglary,Central Park,Suspect broke into residence via basement window and took cash and electronics. No witnesses.,0
CR-2019-10305,2023-04-07,Fraud,Central Park,Victim was deceived into transferring $2500 to fraudulent investment scheme.,0
CR-2021-10306,2023-02-05,Theft,Downtown,Unknown suspect stole phone from victim's restaurant. No surveillance footage available.,0
CR-2020-10307,2022-05-03,Theft,South District,Suspect took victim's purse when victim was not looking at parking lot.,0
CR-2022-10308,2024-02-20,Theft,North District,Victim reported jewelry stolen from bus stop. No witnesses present.,0
CR-2019-10309,2025-01-04,Burglary,West District,Forced entry through garage door. personal documents and valuables were stolen. No alarm system triggered.,1
CR-2022-10310,2024-12-30,Robbery,Downtown,"Armed suspect demanded money from store clerk, escaped with $309.",1
CR-2021-10311,2024-04-16,Theft,Central Park,Victim reported credit cards stolen from library. No witnesses present.,0
CR-2018-10312,2024-09-18,Burglary,West District,Forced entry through pet door. electronics and cash were stolen. No alarm system triggered.,1
CR-2020-10313,2022-11-12,Harassment,University Campus,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2022-10314,2024-04-01,Vandalism,Downtown,"Public memorial was destroyed, causing $1417 in damages. No witnesses.",0
CR-2022-10315,2023-07-20,Theft,Downtown,Victim's purse was taken while they were talking with others. No suspects identified.,0
CR-2020-10316,2023-07-19,Drug Offense,South District,Suspect found in possession of marijuana during routine traffic stop.,0
CR-2019-10317,2023-09-14,Assault,South District,Physical altercation between victim and known suspect resulted in lacerations requiring stitches.,1
CR-2022-10318,2022-09-20,Burglary,Industrial Area,Home invasion occurred while residents were away. skylight was damaged. electronics and cash missing.,0
CR-2021-10319,2025-02-25,Theft,Industrial Area,Unknown suspect stole credit cards from victim's office. No surveillance footage available.,0
CR-2021-10320,2024-12-30,Other,South District,"Suspicious activity reported near public restroom, investigation ongoing.",0
CR-2020-10321,2022-07-09,Burglary,North District,Suspect broke into residence via skylight and took artwork and antiques. No witnesses.,0
CR-2020-10322,2023-11-07,Homicide,North District,Domestic dispute escalated resulting in fatal strangulation to victim.,1
CR-2022-10323,2025-01-19,Drug Offense,South District,Search warrant execution revealed heroin and paraphernalia in suspect's residence.,0
CR-2021-10324,2022-11-10,Fraud,Downtown,Victim reported unauthorized transactions totaling $10000 on their credit card.,0
CR-2018-10325,2023-09-18,Robbery,Industrial Area,Suspect threatened victim with baseball bat before taking jewelry.,1
CR-2021-10326,2022-11-01,Drug Offense,Downtown,Search warrant execution revealed marijuana and paraphernalia in suspect's residence.,0
CR-2022-10327,2023-04-29,Fraud,Central Park,Victim reported unauthorized transactions totaling $1200 on their credit card.,0
CR-2018-10328,2024-04-19,Theft,Downtown,Victim reported jewelry stolen from restaurant. No witnesses present.,0
CR-2021-10329,2023-09-19,Theft,South District,Unknown suspect stole purse from victim's gym. No surveillance footage available.,0
CR-2022-10330,2022-08-11,Fraud,South District,"Business reported accounting discrepancies amounting to $500, suspected internal fraud.",0
CR-2022-10331,2024-04-06,Theft,Downtown,Unknown suspect stole jewelry from victim's public restroom. No surveillance footage available.,0
CR-2019-10332,2023-12-14,Vandalism,West District,Vehicle's doors was deliberately damaged while parked at public restroom.,0
CR-2018-10333,2024-06-25,Other,Shopping Mall,"Suspicious activity reported near sidewalk, investigation ongoing.",0
CR-2020-10334,2022-11-16,Vandalism,Downtown,Vehicle's windows was deliberately damaged while parked at park bench.,0
CR-2021-10335,2024-09-21,Fraud,Downtown,"Suspect used victim's identity to open mobile phone accounts, causing financial damage of $7500.",1
CR-2021-10336,2024-02-18,Fraud,Downtown,Victim was deceived into transferring $10000 to fraudulent investment scheme.,0
CR-2021-10337,2022-04-18,Fraud,Industrial Area,"Suspect used victim's identity to open rental accounts, causing financial damage of $2500.",0
CR-2018-10338,2023-11-26,Theft,South District,Victim reported phone stolen from parking lot. No witnesses present.,0
CR-2019-10339,2024-09-03,Theft,West District,Suspect took victim's cash when victim was not looking at gym.,0
CR-2019-10340,2022-07-31,Theft,Downtown,Unknown suspect stole phone from victim's store. No surveillance footage available.,0
CR-2020-10341,2023-02-27,Vandalism,Downtown,"Public playground equipment was destroyed, causing $1321 in damages. No witnesses.",0
CR-2018-10342,2022-11-25,Fraud,West District,Victim reported unauthorized transactions totaling $1200 on their credit card.,0
CR-2019-10343,2022-08-05,Robbery,Downtown,"Bank robbery involving suspect with implied weapon in pocket, escaped with undisclosed amount.",0
CR-2021-10344,2022-11-10,Fraud,Central Park,"Business reported accounting discrepancies amounting to $7500, suspected internal fraud.",0
CR-2019-10345,2024-09-27,Drug Offense,East District,Suspect found in possession of methamphetamine during routine traffic stop.,0
CR-2019-10346,2022-04-30,Theft,Downtown,Victim reported bicycle stolen from park bench. No witnesses present.,0
CR-2021-10347,2024-10-11,Assault,East District,Unprovoked attack by unknown suspect left victim with facial bruising. Witnesses described suspect as older male with facial hair.,1
CR-2020-10348,2024-05-05,Burglary,Downtown,Forced entry through rear window. cash and electronics were stolen. No alarm system triggered.,1
CR-2022-10349,2024-03-11,Theft,Downtown,Unknown suspect stole laptop from victim's restaurant. No surveillance footage available.,0
CR-2019-10350,2024-02-07,Burglary,East District,Home invasion occurred while residents were away. balcony door was damaged. electronics and jewelry missing.,0
CR-2020-10351,2024-10-26,Theft,West District,Victim reported credit cards stolen from gym. No witnesses present.,0
CR-2022-10352,2023-04-04,Harassment,Downtown,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2022-10353,2022-09-22,Assault,Industrial Area,Unprovoked attack by unknown suspect left victim with lacerations requiring stitches. Witnesses described suspect as tall male in dark clothing.,0
CR-2022-10354,2023-09-14,Vandalism,Central Park,Business storefront windows broken with brick. Surveillance camera captured incident.,0
CR-2021-10355,2022-09-15,Fraud,East District,"Business reported accounting discrepancies amounting to $7500, suspected internal fraud.",0
CR-2018-10356,2023-06-10,Theft,South District,Victim's wallet was taken while they were working. No suspects identified.,0
CR-2021-10357,2023-11-15,Fraud,Central Park,"Business reported accounting discrepancies amounting to $10000, suspected internal fraud.",0
CR-2019-10358,2024-05-10,Fraud,Shopping Mall,"Business reported accounting discrepancies amounting to $1200, suspected internal fraud.",0
CR-2021-10359,2023-09-28,Drug Offense,West District,Search warrant execution revealed prescription pills and paraphernalia in suspect's residence.,0
CR-2020-10360,2024-06-18,Vandalism,Shopping Mall,Property damaged by graffiti depicting tags and signatures. Estimated repair cost: $1882.,0
CR-2019-10361,2024-11-11,Burglary,East District,Suspect broke into residence via front door and took electronics and cash. No witnesses.,1
CR-2022-10362,2024-07-31,Theft,South District,Victim reported identity documents stolen from office. No witnesses present.,0
CR-2021-10363,2023-05-02,Assault,East District,Unprovoked attack by unknown suspect left victim with fractured ribs. Witnesses described suspect as medium-built female with distinctive tattoos.,1
CR-2018-10364,2022-08-24,Theft,West District,Victim reported phone stolen from sidewalk. No witnesses present.,0
CR-2018-10365,2022-05-14,Burglary,West District,Suspect broke into residence via garage door and took jewelry and watches. No witnesses.,0
CR-2018-10366,2023-07-20,Theft,University Campus,Victim reported phone stolen from library. No witnesses present.,0
CR-2020-10367,2025-02-13,Theft,Downtown,Victim's vehicle was taken while they were commuting. No suspects identified.,0
CR-2019-10368,2024-08-07,Robbery,South District,Suspect threatened victim with implied weapon in pocket before taking purse.,1
CR-2021-10369,2024-12-13,Vandalism,Downtown,Business storefront windows broken with skateboard. Surveillance camera captured incident.,0
CR-2021-10370,2024-03-03,Drug Offense,South District,Suspect found in possession of methamphetamine during routine traffic stop.,0
CR-2018-10371,2022-09-19,Harassment,East District,Online harassment campaign targeted victim with manipulated images.,0
CR-2020-10372,2024-11-28,Theft,Transit Station,Victim reported purse stolen from park bench. No witnesses present.,0
CR-2018-10373,2023-09-09,Theft,Downtown,Victim's vehicle was taken while they were shopping. No suspects identified.,0
CR-2018-10374,2022-08-13,Theft,Downtown,Victim's vehicle was taken while they were commuting. No suspects identified.,0
CR-2020-10375,2024-07-31,Theft,East District,Victim's identity documents was taken while they were shopping. No suspects identified.,0
CR-2021-10376,2023-08-19,Burglary,South District,Business broken into overnight. front door showed signs of forced entry. personal documents and valuables reported missing.,0
CR-2020-10377,2022-08-20,Other,West District,"Suspicious activity reported near office, investigation ongoing.",0
CR-2018-10378,2025-03-14,Assault,East District,Physical altercation between victim and known suspect resulted in facial bruising.,1
CR-2019-10379,2024-10-21,Drug Offense,Downtown,Search warrant execution revealed prescription pills and paraphernalia in suspect's residence.,0
CR-2022-10380,2023-02-18,Vandalism,North District,Vehicle's mirrors was deliberately damaged while parked at gym.,0
CR-2019-10381,2022-08-23,Vandalism,Downtown,Property damaged by graffiti depicting anarchist symbols. Estimated repair cost: $1425.,0
CR-2022-10382,2022-07-11,Burglary,West District,Business broken into overnight. side entrance showed signs of forced entry. personal documents and valuables reported missing.,0
CR-2019-10383,2023-06-17,Drug Offense,South District,Anonymous tip led to discovery of methamphetamine manufacturing operation.,0
CR-2018-10384,2023-02-13,Fraud,Downtown,"Suspect used victim's identity to open mobile phone accounts, causing financial damage of $10000.",0
CR-2018-10385,2024-07-08,Other,East District,Violation of restraining order when suspect approached protected person.,0
CR-2022-10386,2025-04-13,Fraud,North District,Victim reported unauthorized transactions totaling $7500 on their credit card.,1
CR-2019-10387,2025-01-20,Fraud,North District,Victim was deceived into transferring $2500 to fraudulent investment scheme.,1
CR-2018-10388,2024-03-04,Vandalism,Downtown,Business storefront windows broken with spray paint. Surveillance camera captured incident.,0
CR-2018-10389,2024-12-12,Harassment,South District,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2021-10390,2022-05-05,Robbery,Central Park,Victim was approached by 1 suspects who took bicycle by force.,0
CR-2018-10391,2024-08-14,Harassment,South District,Victim received 13 threatening messages from known suspect over 5 months.,0
CR-2018-10392,2024-04-10,Burglary,South District,Business broken into overnight. garage door showed signs of forced entry. cash and electronics reported missing.,0
CR-2022-10393,2024-07-22,Fraud,East District,"Suspect used victim's identity to open loan accounts, causing financial damage of $100000.",1
CR-2018-10394,2023-02-01,Theft,Downtown,Victim's wallet was taken while they were commuting. No suspects identified.,0
CR-2020-10395,2024-12-09,Drug Offense,East District,Anonymous tip led to discovery of heroin manufacturing operation.,0
CR-2018-10396,2025-02-06,Fraud,University Campus,Victim was deceived into transferring $25000 to fraudulent investment scheme.,1
CR-2019-10397,2023-07-14,Other,Central Park,Noise complaint escalated requiring police intervention at residential property.,0
CR-2018-10398,2022-04-28,Theft,East District,Victim's laptop was taken while they were talking with others. No suspects identified.,0
CR-2021-10399,2024-06-07,Burglary,East District,Business broken into overnight. side entrance showed signs of forced entry. artwork and antiques reported missing.,1
CR-2019-10400,2023-04-15,Other,Downtown,Violation of restraining order when suspect approached protected person.,0
CR-2020-10401,2025-01-25,Homicide,Downtown,Domestic dispute escalated resulting in fatal poisoning to victim.,1
CR-2018-10402,2024-03-31,Burglary,Downtown,Home invasion occurred while residents were away. rear window was damaged. jewelry and watches missing.,0
CR-2022-10403,2023-07-30,Theft,Downtown,Victim's jewelry was taken while they were dining. No suspects identified.,0
CR-2021-10404,2025-01-18,Fraud,West District,Victim reported unauthorized transactions totaling $7500 on their credit card.,1
CR-2022-10405,2024-05-06,Fraud,East District,"Suspect used victim's identity to open investment accounts, causing financial damage of $7500.",0
CR-2019-10406,2024-02-15,Vandalism,North District,Vehicle's doors was deliberately damaged while parked at library.,0
CR-2021-10407,2022-07-15,Theft,Downtown,Victim's wallet was taken while they were commuting. No suspects identified.,0
CR-2021-10408,2025-03-14,Fraud,West District,"Suspect used victim's identity to open bank accounts, causing financial damage of $15000.",1
CR-2018-10409,2023-07-05,Burglary,University Campus,Home invasion occurred while residents were away. basement window was damaged. electronics and jewelry missing.,0
CR-2021-10410,2023-10-27,Other,East District,Trespassing incident at closed business premises after hours.,0
CR-2022-10411,2024-04-11,Fraud,Central Park,Victim was deceived into transferring $2500 to fraudulent investment scheme.,0
CR-2019-10412,2024-12-25,Assault,Industrial Area,Victim sustained minor cuts and bruises after altercation with suspect at library.,1
CR-2018-10413,2024-08-22,Robbery,North District,"Bank robbery involving suspect with knife, escaped with undisclosed amount.",1
CR-2020-10414,2025-04-04,Drug Offense,Central Park,Suspect found in possession of methamphetamine during routine traffic stop.,0
CR-2020-10415,2025-01-03,Assault,Downtown,Physical altercation between victim and known suspect resulted in black eye.,1
CR-2018-10416,2023-08-12,Harassment,South District,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2022-10417,2024-02-07,Theft,West District,Victim's vehicle was taken while they were dining. No suspects identified.,0
CR-2021-10418,2024-01-26,Burglary,West District,Forced entry through pet door. electronics and cash were stolen. No alarm system triggered.,0
CR-2018-10419,2024-10-23,Other,Downtown,"Suspicious activity reported near office, investigation ongoing.",0
CR-2022-10420,2024-01-13,Vandalism,West District,Vehicle's mirrors was deliberately damaged while parked at gym.,0
CR-2021-10421,2023-02-12,Theft,West District,Suspect took victim's vehicle when victim was not looking at gym.,0
CR-2019-10422,2023-01-29,Burglary,Downtown,Forced entry through balcony door. electronics and jewelry were stolen. No alarm system triggered.,0
CR-2022-10423,2023-04-04,Fraud,South District,Victim reported unauthorized transactions totaling $15000 on their credit card.,0
CR-2018-10424,2025-04-14,Burglary,Downtown,Forced entry through skylight. personal documents and valuables were stolen. No alarm system triggered.,1
CR-2018-10425,2024-07-22,Theft,Central Park,Unknown suspect stole wallet from victim's store. No surveillance footage available.,0
CR-2020-10426,2022-09-23,Fraud,Industrial Area,Victim was deceived into transferring $5000 to fraudulent investment scheme.,0
CR-2019-10427,2022-06-22,Fraud,North District,Victim was deceived into transferring $2500 to fraudulent investment scheme.,0
CR-2020-10428,2023-03-24,Drug Offense,Transit Station,Suspect observed selling prescription pills near store.,0
CR-2019-10429,2023-12-21,Fraud,West District,"Suspect used victim's identity to open investment accounts, causing financial damage of $25000.",0
CR-2021-10430,2024-02-07,Fraud,University Campus,"Suspect used victim's identity to open bank accounts, causing financial damage of $2500.",0
CR-2022-10431,2023-01-28,Vandalism,Downtown,Business storefront windows broken with rocks. Surveillance camera captured incident.,0
CR-2019-10432,2023-07-06,Assault,Industrial Area,Unprovoked attack by unknown suspect left victim with minor cuts and bruises. Witnesses described suspect as older male with facial hair.,1
CR-2021-10433,2024-02-02,Burglary,Transit Station,Business broken into overnight. side entrance showed signs of forced entry. electronics and jewelry reported missing.,0
CR-2020-10434,2022-12-09,Theft,University Campus,Suspect took victim's bicycle when victim was not looking at store.,0
CR-2022-10435,2023-04-15,Theft,West District,Unknown suspect stole bicycle from victim's public restroom. No surveillance footage available.,0
CR-2021-10436,2023-05-27,Theft,Central Park,Victim's cash was taken while they were distracted by phone. No suspects identified.,0
CR-2018-10437,2025-01-23,Robbery,Central Park,Suspect threatened victim with broken bottle before taking credit cards.,1
CR-2019-10438,2023-09-07,Theft,North District,Unknown suspect stole purse from victim's gym. No surveillance footage available.,0
CR-2019-10439,2024-05-04,Burglary,Downtown,Business broken into overnight. garage door showed signs of forced entry. electronics and cash reported missing.,1
CR-2020-10440,2024-05-16,Fraud,North District,Victim was deceived into transferring $10000 to fraudulent investment scheme.,0
CR-2021-10441,2023-02-21,Theft,Central Park,Victim reported jewelry stolen from sidewalk. No witnesses present.,0
CR-2021-10442,2022-12-16,Theft,Shopping Mall,Victim's vehicle was taken while they were working. No suspects identified.,0
CR-2019-10443,2024-02-23,Robbery,South District,"Bank robbery involving suspect with broken bottle, escaped with undisclosed amount.",1
CR-2019-10444,2022-08-28,Theft,North District,Victim's bicycle was taken while they were dining. No suspects identified.,0
CR-2018-10445,2023-05-20,Assault,Downtown,Domestic dispute escalated to physical violence resulting in fractured ribs to victim.,0
CR-2019-10446,2024-11-02,Burglary,University Campus,Forced entry through garage door. electronics and cash were stolen. No alarm system triggered.,1
CR-2019-10447,2024-06-17,Assault,North District,Domestic dispute escalated to physical violence resulting in facial bruising to victim.,1
CR-2018-10448,2023-03-18,Vandalism,Downtown,Vehicle's paint was deliberately damaged while parked at gym.,0
CR-2020-10449,2023-08-12,Burglary,Downtown,Business broken into overnight. balcony door showed signs of forced entry. personal documents and valuables reported missing.,0
CR-2022-10450,2023-08-11,Theft,Downtown,Victim's purse was taken while they were working. No suspects identified.,0
CR-2018-10451,2025-02-15,Other,South District,Trespassing incident at closed business premises after hours.,0
CR-2022-10452,2023-10-11,Assault,South District,Unprovoked attack by unknown suspect left victim with minor cuts and bruises. Witnesses described suspect as tall male in dark clothing.,1
CR-2021-10453,2023-07-07,Drug Offense,North District,Suspect found in possession of synthetic drugs during routine traffic stop.,0
CR-2019-10454,2025-04-04,Burglary,South District,Business broken into overnight. skylight showed signs of forced entry. electronics and cash reported missing.,1
CR-2022-10455,2024-06-02,Theft,South District,Victim reported bicycle stolen from sidewalk. No witnesses present.,0
CR-2019-10456,2025-03-31,Burglary,South District,Suspect broke into residence via side entrance and took jewelry and watches. No witnesses.,1
CR-2018-10457,2022-09-12,Theft,North District,Victim's laptop was taken while they were working. No suspects identified.,0
CR-2020-10458,2023-01-04,Drug Offense,Downtown,Suspect found in possession of heroin during routine traffic stop.,0
CR-2021-10459,2024-06-09,Theft,North District,Victim's purse was taken while they were commuting. No suspects identified.,0
CR-2022-10460,2024-07-14,Drug Offense,Industrial Area,Suspect found in possession of prescription pills during routine traffic stop.,0
CR-2019-10461,2025-04-07,Robbery,South District,Suspect threatened victim with baseball bat before taking phone.,1
CR-2022-10462,2023-08-12,Burglary,South District,Home invasion occurred while residents were away. basement window was damaged. electronics and jewelry missing.,0
CR-2022-10463,2023-12-05,Other,North District,Noise complaint escalated requiring police intervention at residential property.,0
CR-2020-10464,2023-05-26,Theft,North District,Suspect took victim's credit cards when victim was not looking at parking lot.,0
CR-2019-10465,2024-10-03,Theft,Downtown,Unknown suspect stole credit cards from victim's office. No surveillance footage available.,0
CR-2019-10466,2023-08-22,Other,Central Park,"Suspicious activity reported near public restroom, investigation ongoing.",0
CR-2022-10467,2024-02-17,Assault,Downtown,Unprovoked attack by unknown suspect left victim with black eye. Witnesses described suspect as person wearing mask and gloves.,1
CR-2021-10468,2023-05-16,Assault,Industrial Area,Domestic dispute escalated to physical violence resulting in black eye to victim.,0
CR-2022-10469,2023-09-08,Theft,North District,Suspect took victim's jewelry when victim was not looking at public restroom.,0
CR-2021-10470,2023-12-01,Assault,South District,Domestic dispute escalated to physical violence resulting in fractured ribs to victim.,1
CR-2021-10471,2023-10-22,Robbery,Shopping Mall,Victim was approached by 1 suspects who took cash by force.,1
CR-2018-10472,2022-10-25,Robbery,North District,"Armed suspect demanded money from store clerk, escaped with $1111.",0
CR-2018-10473,2023-11-09,Theft,North District,Suspect took victim's jewelry when victim was not looking at bus stop.,0
CR-2019-10474,2022-12-04,Assault,West District,Unprovoked attack by unknown suspect left victim with lacerations requiring stitches. Witnesses described suspect as medium-built female with distinctive tattoos.,0
CR-2019-10475,2024-05-31,Homicide,West District,Multiple gunshot wounds led to victim's death in apparent targeted attack.,1
CR-2018-10476,2024-11-27,Assault,Industrial Area,Victim sustained broken nose after altercation with suspect at park bench.,1
CR-2022-10477,2024-11-11,Assault,West District,Physical altercation between victim and known suspect resulted in broken nose.,1
CR-2022-10478,2022-07-12,Vandalism,Downtown,"Public park bench was destroyed, causing $184 in damages. No witnesses.",0
CR-2020-10479,2024-02-09,Theft,East District,Suspect took victim's vehicle when victim was not looking at gym.,0
CR-2019-10480,2023-04-17,Other,University Campus,Violation of restraining order when suspect approached protected person.,0
CR-2020-10481,2023-08-28,Theft,Downtown,Unknown suspect stole bicycle from victim's library. No surveillance footage available.,0
CR-2022-10482,2024-05-28,Drug Offense,Central Park,Search warrant execution revealed methamphetamine and paraphernalia in suspect's residence.,0
CR-2019-10483,2025-01-02,Assault,Shopping Mall,Victim sustained facial bruising after altercation with suspect at restaurant.,1
CR-2018-10484,2023-03-11,Burglary,North District,Business broken into overnight. pet door showed signs of forced entry. artwork and antiques reported missing.,0
CR-2018-10485,2024-07-30,Robbery,West District,Victim was approached by 3 suspects who took phone by force.,1
CR-2019-10486,2022-08-13,Theft,University Campus,Unknown suspect stole jewelry from victim's gym. No surveillance footage available.,0
CR-2022-10487,2024-01-28,Assault,Downtown,Unprovoked attack by unknown suspect left victim with lacerations requiring stitches. Witnesses described suspect as medium-built female with distinctive tattoos.,1
CR-2022-10488,2022-09-23,Vandalism,Central Park,Business storefront windows broken with baseball bat. Surveillance camera captured incident.,0
CR-2021-10489,2023-09-21,Theft,Downtown,Victim reported bicycle stolen from gym. No witnesses present.,0
CR-2019-10490,2022-10-16,Theft,South District,Suspect took victim's phone when victim was not looking at store.,0
CR-2021-10491,2024-12-26,Theft,North District,Suspect took victim's phone when victim was not looking at library.,0
CR-2021-10492,2024-03-02,Theft,Transit Station,Victim's bicycle was taken while they were shopping. No suspects identified.,0
CR-2019-10493,2022-05-25,Harassment,Shopping Mall,Victim received 15 threatening messages from known suspect over 5 months.,0
CR-2019-10494,2022-09-12,Vandalism,South District,Vehicle's windows was deliberately damaged while parked at parking lot.,0
CR-2021-10495,2022-11-05,Burglary,Central Park,Business broken into overnight. side entrance showed signs of forced entry. electronics and cash reported missing.,0
CR-2018-10496,2023-10-02,Fraud,West District,Victim reported unauthorized transactions totaling $1200 on their credit card.,0
CR-2019-10497,2023-10-09,Drug Offense,Downtown,Anonymous tip led to discovery of methamphetamine manufacturing operation.,0
CR-2019-10498,2022-07-13,Burglary,South District,Business broken into overnight. balcony door showed signs of forced entry. electronics and jewelry reported missing.,0
CR-2022-10499,2024-03-12,Fraud,Downtown,"Business reported accounting discrepancies amounting to $500, suspected internal fraud.",0
CR-2022-10500,2025-03-05,Harassment,West District,Victim reported ongoing harassment by neighbor including noise disturbances.,0
CR-2022-10501,2022-08-30,Assault,Downtown,Domestic dispute escalated to physical violence resulting in minor cuts and bruises to victim.,0
CR-2018-10502,2023-09-13,Other,Downtown,"Suspicious activity reported near restaurant, investigation ongoing.",0
CR-2019-10503,2023-08-02,Fraud,West District,Victim reported unauthorized transactions totaling $15000 on their credit card.,0
CR-2020-10504,2024-10-25,Drug Offense,South District,Suspect observed selling prescription pills near store.,0
CR-2018-10505,2023-08-29,Fraud,Industrial Area,"Suspect used victim's identity to open rental accounts, causing financial damage of $5000.",0
CR-2019-10506,2023-11-03,Harassment,Downtown,Victim received 4 threatening messages from known suspect over 1 months.,0
